short_title,full_title,url
"Free food, delivery, deals from Chipotle and more","Burrito Day 2020: Free food, delivery, deals from Chipotle and more",https://www.usatoday.com/story/money/food/2020/04/01/coronavirus-national-burrito-day-2020-quarantine-specials-free-delivery/5109874002/
These banks are offering coronavirus financial aid,These banks are offering coronavirus financial aid,https://www.cnbc.com/2020/03/23/these-banks-are-offering-coronavirus-financial-aid.html
How restaurants are adapting to uncertainty,Coronavirus: How restaurants are adapting to uncertainty,https://www.usatoday.com/story/money/2020/03/17/coronavirus-how-restaurants-adapting-uncertainty/5057617002/
How to watch Emma: stream the 2020 movie online anywhere,How to watch Emma: stream the 2020 movie online anywhere | TechRadar,https://www.techradar.com/news/how-to-watch-emma-stream-the-2020-movie-online-anywhere
Kojima Productions cancels GDC appearance over coronavirus worries,Kojima Productions cancels GDC appearance over coronavirus worries - MSPoweruser,https://mspoweruser.com/kojima-productions-gdc-cancellation-coronavirus/
Leaders say Minnesota Capitol won't close due to COVID-19,Leaders say Minnesota Capitol won't close due to COVID-19,https://apnews.com/bdc1c8033fee26acd9d02153c0687121
Apple Has a Bright Future,Apple Has a Bright Future,https://gizmodo.com/apple-has-a-bright-future-1843187742
Dr. Mario World’s new Dr. Goomba Tower is highly suspicious,Dr. Mario World’s new Dr. Goomba Tower is highly suspicious - Polygon,https://www.polygon.com/2020/4/24/21234576/dr-mario-world-goomba-tower-doctor
Iran Election: Hardliners' Victory Sets Back Relations With West,Iran Election: Hardliners' Victory Sets Back Relations With West | Time,https://time.com/5789565/iran-elections-hardliners/
Biden leads Trump in Michigan: poll,Biden leads Trump in Michigan: poll | TheHill,https://thehill.com/homenews/campaign/494237-biden-leads-trump-in-michigan-poll
See what London's major sites look like under lockdown,See what London's major sites look like under lockdown - CNN Video,https://www.cnn.com/videos/travel/2020/04/23/uk-london-covid-19-coronavirus-pandemic-tourism-guides-torigoe-pkg-intl-ldn-vpx.cnn
Tennis stars rally in fight against coronavirus,Tennis stars rally in fight against coronavirus | Reuters,https://www.reuters.com/article/us-tennis-tennis-nadal-djokovic-federer-idUSKBN21F0TP
The 11 Songs We Couldn't Get Enough of This Month,The 11 Songs We Couldn't Get Enough of This Month,https://www.vice.com/en/article/pke4py/best-songs-march-2020
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=bd7bd3b0-2891-11eb-8d15-bb860e77ac20&url=L25ld3MvdmlkZW9zLzIwMjAtMDMtMTgvdHJ1bXAtc2F5cy11c2luZy10aGUtdGVybS1jaGluZXNlLXZpcnVzLWlzLW5vdC1yYWNpc3QtdmlkZW8=
WHO unsuccessfully targeted by hackers earlier this month: report,WHO unsuccessfully targeted by hackers earlier this month: report | TheHill,https://thehill.com/policy/cybersecurity/489093-who-unsuccessfully-targeted-by-hackers-earlier-this-month-report
More than Half of Americans Use Contactless Payments,Mastercard Survey: More than Half of Americans Use Contactless Payments,https://www.cnbc.com/select/mastercard-survey-contactless-payments/
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=be141c10-2891-11eb-bf13-b5d2a9f826be&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wNS0wNi93ZWFyaW5nLWEtbWFzay1pbi1icnVzc2Vscy1kZXBlbmRzLW9uLWhvdXNlLW51bWJlci10aW1lLW9mLWRheQ==
"As Trump attacks, WHO warns against politicizing coronavirus if you don't want 'many more body bags'","As Trump attacks, WHO warns against politicizing coronavirus if you don't want 'many more body bags'",https://www.cnbc.com/2020/04/08/as-trump-attacks-who-warns-against-politicizing-coronavirus-if-you-dont-want-many-more-body-bags.html
Trump Task Force Spends Nearly 20 Minutes Answering Jim Acosta,Trump Task Force Spends Nearly 20 Minutes Answering Jim Acosta,https://www.breitbart.com/politics/2020/03/31/trump-task-force-spends-20-minutes-jim-acosta/
Sony finally unveils PlayStation 5 details,Sony finally unveils PlayStation 5 details - TechCrunch,https://techcrunch.com/2020/03/18/sony-finally-unveils-playstation-5-details/
Inside the coronavirus 'Ground Zero': Elmhurst Hospital in New York City,Inside the coronavirus 'Ground Zero': Elmhurst Hospital in New York City - ABC News,https://abcnews.go.com/Politics/inside-coronavirus-ground-elmhurst-hospital-york-city/story?id=69804681
Trump Is ‘the Most Dangerous Person’ in Our Country's History,Pelosi: Trump Is ‘the Most Dangerous Person’ in Our Country's History,https://www.breitbart.com/politics/2020/03/03/nancy-pelosi-donald-trump-is-the-most-dangerous-person-in-our-countrys-history/
Factbox: Latest on worldwide spread of the coronavirus,Factbox: Latest on worldwide spread of the coronavirus | Reuters,https://www.reuters.com/article/us-health-coronavirus-latest-idUSKBN2210IZ
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=be41bbc0-2891-11eb-b621-a32b3a3cdecc&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wMy0xMi9iaW9nZW4tb3V0YnJlYWstbWFrZXMtYm9zdG9uLWEtY2FzZS1zdHVkeS1pbi1jb3JvbmF2aXJ1cy1zcHJlYWQ=
Oregon’s first known coronavirus patient released from hospital after 2 months,Oregon’s first known coronavirus patient released from hospital after 2 months | Fox News,https://www.foxnews.com/health/oregons-first-known-coronavirus-patient-released-from-hospital-after-2-months
New trade figures spell trouble for China deal,New trade figures spell trouble for China deal - POLITICO,https://www.politico.com/newsletters/morning-trade/2020/05/06/new-trade-figures-spell-trouble-for-china-deal-787388
"As pandemic hits restaurants hard, some chefs sue insurers over denied claims: ""We need help""","As pandemic hits restaurants hard, some chefs sue insurers over denied claims: ""We need help"" - CBS News",https://www.cbsnews.com/news/coronavirus-pandemic-insurance-companies-denying-struggling-business-claims/
Holland quarantines Zaandam; Costa cruise disembarks,Coronavirus: Holland quarantines Zaandam; Costa cruise disembarks,https://www.usatoday.com/story/travel/cruises/2020/03/21/coronavirus-cruise-updates-costa-ship-italy-ruby-princess-australia/2890964001/
Do University Closures Make Sense?,Do University Closures Make Sense? | National Review,https://www.nationalreview.com/corner/do-university-closures-make-sense/
Trump says it's not a 'big deal' he hasn't been tested for coronavirus,Trump says it's not a 'big deal' he hasn't been tested for coronavirus - Business Insider,https://www.businessinsider.com/trump-says-not-big-deal-he-hasnt-been-tested-coronavirus-2020-3
Twitter Cracks Down on Coronavirus 5G Conspiracy Theories,Twitter Cracks Down on Coronavirus 5G Conspiracy Theories,https://gizmodo.com/twitter-cracks-down-on-5g-coronavirus-conspiracy-theori-1843023679
Georgia governor admits he just learned asymptomatic people can spread COVID-19,Georgia governor admits he just learned asymptomatic people can spread COVID-19,https://www.msnbc.com/all-in/watch/georgia-governor-admits-he-just-learned-asymptomatic-people-can-spread-covid-19-81570885546
"U.S. CDC reports 304,826 coronavirus cases, 7,616 deaths","U.S. CDC reports 304,826 coronavirus cases, 7,616 deaths | Reuters",https://www.reuters.com/article/us-health-coronavirus-usa-cdc-idUSKBN21N0OS
Philadelphia transit officials change policy on masks after video shows man being dragged off bus,Philadelphia transit officials change policy on masks after video shows man being dragged off bus - CBS News,https://www.cbsnews.com/news/coronavirus-philadelphia-bus-septa-face-mask-policy-video-shows-man-being-dragged-by-police/
Feds Delay Gavin Newsom's Purchase of Masks from China Due to Safety Concerns,Feds Delay Gavin Newsom's Purchase of Masks from China Due to Safety Concerns,https://www.breitbart.com/health/2020/05/07/feds-delay-gavin-newsoms-purchase-of-masks-from-china-due-to-safety-concerns/
FDA authorizes first coronavirus test for at-home use,FDA authorizes first coronavirus test for at-home use - CBS News,https://www.cbsnews.com/news/coronavirus-test-pixel-fda-approval/
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=be8a8490-2891-11eb-8965-d1770c877aca&url=L25ld3MvYXVkaW8vMjAyMC0wMy0zMS9lbW1hLWNvdXJ0LW9uLWNvcm9uYXZpcnVzLXRlc3RpbmctcmFkaW8=
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=be8eca50-2891-11eb-a0b9-d174baec269f&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wMy0wMy91LWEtZS1idXNpbmVzcy1jb25kaXRpb25zLWh1cnQtYnktdmlydXMtc2F1ZGktcmVwb3J0cy0xc3QtY2FzZQ==
Should I cancel my wedding?,Coronavirus: Should I cancel my wedding?,https://www.usatoday.com/videos/news/2020/03/10/should-cancel-my-wedding-because-coronavirus/5005074002/
"TV Channel, How to Watch","Liga MX FIFA Tournament Live Stream: TV Channel, How to Watch",https://ftw.usatoday.com/2020/04/eliga-mx-fifa-tournament-toluca-vs-cruz-azul-week-4-schedule-tv-channel-live-stream
What to know on Europe travel ban,Coronavirus UK Ireland travel ban: What to know on Europe travel ban,https://www.usatoday.com/story/travel/airline-news/2020/03/16/coronavirus-uk-ireland-travel-ban-what-know-europe-travel-ban/5060715002/
Coronavirus: Hospital ward staffed entirely by robots opens in China,Coronavirus: Hospital ward staffed entirely by robots opens in China | New Scientist,https://www.newscientist.com/article/2236777-coronavirus-hospital-ward-staffed-entirely-by-robots-opens-in-china/
Cuomo says no renters in New York can be evicted for not paying until August 20,Cuomo says no renters in New York can be evicted for not paying until August 20 - CBS News,https://www.cbsnews.com/video/coronavirus-cuomo-new-york-renters-eviction-ban-august-20/
"AP Deleg Count-GOP States, 4th Add,400","AP Deleg Count-GOP States, 4th Add,400",https://apnews.com/fe16e95e07004276aafc0527f6553979
How Friendly Fraud Impacts Small Business Owners,How Friendly Fraud Impacts Small Business Owners,https://www.cnbc.com/select/friendly-fraud-impact-on-small-businesses/
Governor Cuomo: Coronavirus is not just a New York City problem,Governor Cuomo: Coronavirus is not just a New York City problem - CBS News,https://www.cbsnews.com/video/coronavirus-new-york-governor-cuomo-no-one-is-immune/
Judge denies Ohio governor’s attempt to postpone the state’s presidential primary,Judge denies Ohio governor’s attempt to postpone the state’s presidential primary - The Verge,https://www.theverge.com/2020/3/16/21182254/ohio-governor-postpone-presidential-primary-june-coronavirus
Chinese restaurant owners say coronavirus outbreak has hurt their businesses,Chinese restaurant owners say coronavirus outbreak has hurt their businesses - CBS News,https://www.cbsnews.com/video/chinese-restaurant-owners-say-coronavirus-outbreak-has-impacted-their-businesses/
Whatever Happened to Ashley Madison? Affairs in the Time of Coronavirus,Whatever Happened to Ashley Madison? Affairs in the Time of Coronavirus - Slashdot,https://tech.slashdot.org/story/20/03/29/0540233/whatever-happened-to-ashley-madison-affairs-in-the-time-of-coronavirus
Pandemic hampers houses of worship as faithful stay home,Pandemic hampers houses of worship as faithful stay home | TheHill,https://thehill.com/homenews/state-watch/491657-pandemic-hampers-houses-of-worship-as-faithful-stay-home
Coronavirus & Media: Accusations of Racism against President Trump Are Baseless,Coronavirus & Media: Accusations of Racism against President Trump Are Baseless | National Review,https://www.nationalreview.com/2020/03/coronavirus-media-accusations-racism-against-president-trump-baseless/
House passes $2 trillion coronavirus relief bill,House passes $2 trillion coronavirus relief bill,https://www.msnbc.com/stephanie-ruhle/watch/house-passes-2-trillion-coronavirus-relief-bill-81291333771
Survey: High Schoolers More Likely to Consider China a Threat than College Students,Survey: High Schoolers More Likely to Consider China a Threat than College Students,https://www.breitbart.com/tech/2020/05/06/survey-high-schoolers-more-likely-to-consider-china-a-threat-than-college-students/
US indicts Venezuela's Maduro on narcoterrorism charges,US indicts Venezuela's Maduro on narcoterrorism charges - ABC News,https://abcnews.go.com/International/wireStory/us-indicts-venezuelas-maduro-narcoterror-charges-69812832
Coronavirus: Philippines seeks 215 who attended Malaysia event,Coronavirus: Philippines seeks 215 who attended Malaysia event | Malaysia | Al Jazeera,https://www.aljazeera.com/news/2020/03/22/coronavirus-philippines-seeks-215-who-attended-malaysia-event/
"Swiss coronavirus death toll rises to 103, cases total 9,765","Swiss coronavirus death toll rises to 103, cases total 9,765 | Reuters",https://www.reuters.com/article/us-health-coronavirus-swiss-casualties-idUSKBN21C2UL
Trump's Coronavirus Response & Media Coverage -- President Still Continues to Improve,Trump's Coronavirus Response & Media Coverage -- President Still Continues to Improve | National Review,https://www.nationalreview.com/2020/03/on-coronavirus-trump-takes-charge/
Coronavirus rattles stock market for second straight week,Coronavirus rattles stock market for second straight week,https://www.msnbc.com/msnbc/watch/coronavirus-rattles-stock-market-for-second-straight-week-80134213842
Bronx ICU Director: 'We've had valued staff members die from this disease',Bronx ICU Director: 'We've had valued staff members die from this disease',https://www.msnbc.com/craig-melvin/watch/bronx-icu-director-we-ve-had-valued-staff-members-die-from-this-disease-82139205555
"Putin may extend term over ‘threats to Russia’, coronavirus","Putin may extend term over ‘threats to Russia’, coronavirus | Russia | Al Jazeera",https://www.aljazeera.com/news/2020/03/12/putin-may-extend-term-over-threats-to-russia-coronavirus/
Tokyo delays Olympic volunteer training because of virus,Tokyo delays Olympic volunteer training because of virus,https://apnews.com/e34d5467c08cae440a37d0f56a642736
Coronavirus: the rippling effects of school closures on students,Coronavirus: the rippling effects of school closures on students,https://www.nbcnews.com/nightly-news/video/coronavirus-the-rippling-effects-of-school-closures-on-students-80364613601
"Stocks making the biggest moves midday: Lyft, Peloton, PayPal, Grubhub, T-Mobile & more","Stocks making the biggest moves midday: Lyft, Peloton, PayPal, Grubhub, T-Mobile & more",https://www.cnbc.com/2020/05/07/stocks-making-the-biggest-moves-midday-lyft-peloton-paypal-grubhub-t-mobile-more.html
We've done it before. We'll do it again.,Social distancing: We've done it before. We'll do it again.,https://www.usatoday.com/story/opinion/2020/04/25/coronavirus-social-distanced-keep-doing-today-column/5148850002/
Britain’s Coronavirus Toilet Roll Panic Has Created A Bidet Sales Boom,Britain’s Coronavirus Toilet Roll Panic Has Created A Bidet Sales Boom,https://www.buzzfeed.com/albertonardelli/uk-coronavirus-bidet-boom-toilet-roll
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=bffa1a20-2891-11eb-9508-6b178b14a650&url=L25ld3MvdmlkZW9zLzIwMjAtMDMtMTkvdmlydXMtY2FuLWJlLXNldmVyZS1mb3Itc29tZS1jaGlsZHJlbi1idXQtbm90LWZvci1tb3N0LXdoby1zYXlzLXZpZGVv
Nightly News Full Broadcast (March 9th),Nightly News Full Broadcast (March 9th),https://www.nbcnews.com/nightly-news-netcast/video/nightly-news-full-broadcast-march-9th-80372293824
Trump says he has seen evidence that virus originated in Wuhan lab,Trump says he has seen evidence that virus originated in Wuhan lab,https://www.nbcnews.com/health/health-news/live-blog/2020-04-30-coronavirus-news-n1196031/ncrd1197121
Neo-Nazis Are Spreading a List of Emails and Passwords for Gates Foundation and WHO Employees,Neo-Nazis Are Spreading a List of Emails and Passwords for Gates Foundation and WHO Employees,https://www.vice.com/en/article/akwxzp/neo-nazis-are-spreading-a-list-of-emails-and-passwords-for-gates-foundation-and-who-employees
U. of Oregon Furloughs Hundreds of Employees,U. of Oregon Furloughs Hundreds of Employees,https://www.breitbart.com/tech/2020/04/15/u-of-oregon-furloughs-hundreds-of-employees/
Traveler with Coronavirus was on Delta Flight That left JFK,Traveler with Coronavirus was on Delta Flight That left JFK | Time,https://time.com/5806293/delta-coronavirus/
"Visualization shows droplets from one cough on an airplane infecting large number of passengers, researchers say","Visualization shows droplets from one cough on an airplane infecting large number of passengers, researchers say | Fox News",https://www.foxnews.com/science/visualization-droplets-one-cough-airplane-infecting-passengers
Amazon to Shut Down for 5 Days in France After Court Finds Its Coronavirus Response Inadequate,Amazon to Shut Down for 5 Days in France After Court Finds Its Coronavirus Response Inadequate,https://gizmodo.com/amazon-to-shut-down-for-5-days-in-france-after-court-fi-1842891812
SBA Paycheck Protection Program approved loans per capita state map,SBA Paycheck Protection Program approved loans per capita state map - Business Insider,https://www.businessinsider.com/sba-paycheck-protection-program-approved-loans-per-capita-state-map-2020-4
France may ease coronavirus curbs on worship earlier than planned: premier,France may ease coronavirus curbs on worship earlier than planned: premier | Reuters,https://www.reuters.com/article/us-health-coronavirus-france-worship-idUSKBN22G270
Hong Kong budget for fiscal 2020/21,Hong Kong budget for fiscal 2020/21 | Reuters,https://www.reuters.com/article/us-hongkong-economy-budget-highlights-idUSKCN20K0FY
"Best composting bins to buy in 2020, according to experts","Best composting bins to buy in 2020, according to experts",https://www.nbcnews.com/shopping/eco-friendly/best-compost-bins-n1188966
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=c0357570-2891-11eb-874a-0157f98e0f82&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wNC0wOS9lbnRyZXByZW5ldXJzLWZyZWVsYW5jZXJzLXdvcnN0LWhpdC1ieS12aXJ1cy1pbXBhY3QtaW4tbWFsYXlzaWE=
"After Tuesday's losses, Sanders faces more questions about his campaign's future","After Tuesday's losses, Sanders faces more questions about his campaign's future",https://www.nbcnews.com/politics/meet-the-press/after-tuesday-s-losses-sanders-faces-more-questions-about-his-n1162716
How the war on disease made our world,How the war on disease made our world - Axios,https://www.axios.com/war--coronavirus-disease-made-world-f94e18dd-18a8-40a1-ac7e-605a16d39a9e.html
South Korea passes one of the world’s first comprehensive cryptocurrency laws,South Korea passes one of the world’s first comprehensive cryptocurrency laws - TechCrunch,https://techcrunch.com/2020/03/05/south-korea-passes-one-of-the-worlds-first-comprehensive-cryptocurrency-laws/
Boeing plans to restart production of 737 Max planes by May: Reuters,Boeing plans to restart production of 737 Max planes by May: Reuters - Business Insider,https://www.businessinsider.com/boeing-to-restart-production-737-max-by-may-reuters-2020-3
When will sports and concerts come back after coronavirus?,When will sports and concerts come back after coronavirus?,https://www.cnbc.com/2020/05/06/when-will-sports-and-concerts-come-back-after-coronavirus-2021-likely.html
"No, the FDA Can't Stop Doctors From Prescribing Chloroquine","No, the FDA Can't Stop Doctors From Prescribing Chloroquine | The American Conservative",https://www.theamericanconservative.com/articles/no-the-fda-cant-stop-doctors-from-prescribing-chloroquine/
"Coronavirus anxiety is running so high, all my therapy patients want help coping","Coronavirus anxiety is running so high, all my therapy patients want help coping",https://www.nbcnews.com/think/opinion/coronavirus-anxiety-running-so-high-all-my-therapy-patients-want-ncna1150126
US Democrats outline ‘phase 4’ of virus response,US Democrats outline ‘phase 4’ of virus response | US & Canada News | Al Jazeera,https://www.aljazeera.com/economy/2020/04/01/us-democrats-outline-phase-4-of-virus-response/
Moody's: Coronavirus could crush auto sales in 2020,Moody's: Coronavirus could crush auto sales in 2020 | Fox News,https://www.foxnews.com/auto/moodys-coronavirus-could-crush-auto-sales-in-2020
Factbox: Latest on the spread of coronavirus around the world,Factbox: Latest on the spread of coronavirus around the world | Reuters,https://www.reuters.com/article/us-health-coronavirus-latest-factbox-idUSKBN20V0JR
Coronavirus crisis puts more than 75 million Americans under virtual lockdown,Coronavirus crisis puts more than 75 million Americans under virtual lockdown,https://www.nbcnews.com/nightly-news/video/coronavirus-crisis-puts-more-than-75-million-americans-under-virtual-lockdown-81040453998
How the coronavirus outbreak is affecting the global economy,How the coronavirus outbreak is affecting the global economy | Asia Pacific | Al Jazeera,https://www.aljazeera.com/program/episode/2020/3/1/how-the-coronavirus-outbreak-is-affecting-the-global-economy/
Governors plead with Trump over supplying more coronavirus test kits,Governors plead with Trump over supplying more coronavirus test kits - CBS News,https://www.cbsnews.com/video/governors-plead-with-trump-over-supplying-more-coronavirus-test-kits/
S.Korea on red alert as cases soar: Virus update,S.Korea on red alert as cases soar: Virus update,https://www.bangkokpost.com/business/1863934/s-korea-on-red-alert-as-cases-soar-virus-update
Lindsey Graham on Whether the President Should Call Obama For Advice,Lindsey Graham on Whether the President Should Call Obama For Advice | Brian Kilmeade Show,https://radio.foxnews.com/2020/04/01/lindsey-graham-on-whether-the-president-should-call-obama-for-advice/
